id,address_type,status,entity,street_number_name,apartment_number,city,state_province,zip_code,country,notes,created_at,updated_at
76,Home,Active,Building,11831 Goodland Hill,9,Los Angeles,California,90065,United States,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",2016-04-07 22:47:58,2018-07-05 10:03:00
77,Home,Active,Customer,59598 Ludington Hill,,Greenville,South Carolina,29605,United States,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,2017-06-06 20:37:35,2017-07-31 17:33:53
78,Shipping,Active,Building,09298 Riverside Road,11,Huntington,West Virginia,25775,United States,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2017-06-06 14:28:26,2017-06-14 08:38:55
79,Home,Active,Customer,01 Commercial Terrace,,Saint Paul,Minnesota,55123,United States,Nunc purus.,2017-04-25 11:31:59,2017-10-09 20:14:41
80,Business,Active,Building,646 Clove Lane,,New York City,New York,10034,United States,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",2016-11-21 14:15:29,2018-04-12 15:12:48
81,Shipping,Active,Customer,18 Buell Point,,Baltimore,Maryland,21239,United States,Quisque porta volutpat erat.,2016-04-12 01:29:56,2019-02-07 22:41:56
82,Shipping,Active,Building,119 Toban Terrace,,New York City,New York,10099,United States,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2017-06-01 14:23:14,2017-11-08 21:24:18
83,Home,Active,Customer,75 Bobwhite Trail,,San Jose,California,95155,United States,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,2017-02-23 00:47:30,2018-02-22 04:56:01
84,Business,Active,Building,11334 Merrick Junction,,Reading,Pennsylvania,19610,United States,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2016-11-13 03:59:10,2018-07-27 08:19:47
85,Home,Active,Customer,2278 Rockefeller Drive,,San Jose,California,95108,United States,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",2016-09-30 16:40:49,2019-01-13 22:39:16
86,Shipping,Active,Building,91564 Warner Road,,Bethlehem,Pennsylvania,18018,United States,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",2016-09-21 03:30:49,2018-07-06 06:34:00
87,Home,Active,Customer,8579 Kings Lane,19,Baton Rouge,Louisiana,70883,United States,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.",2016-10-21 00:31:58,2017-10-11 20:12:25
88,Shipping,Active,Building,94420 Waywood Park,,Shawnee Mission,Kansas,66210,United States,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2017-01-14 11:25:57,2017-12-15 01:17:13
89,Shipping,Active,Customer,60265 Blaine Way,,Pueblo,Colorado,81010,United States,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",2016-07-04 06:59:36,2019-02-24 00:49:08
90,Business,Active,Building,5419 Truax Parkway,,Knoxville,Tennessee,37914,United States,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,2016-12-14 06:53:01,2018-09-14 20:09:48
91,Billing,Active,Customer,7029 Mayfield Center,,Columbus,Mississippi,39705,United States,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,2017-04-12 23:13:21,2018-06-08 01:34:59
92,Business,Active,Building,6 Anzinger Point,11,Athens,Georgia,30610,United States,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2016-04-17 09:45:42,2017-08-12 11:31:08
93,Business,Active,Customer,7218 Anhalt Circle,,New Orleans,Louisiana,70160,United States,Aenean sit amet justo. Morbi ut odio.,2017-04-25 07:17:09,2017-08-25 14:37:22
94,Home,Active,Building,56849 Fairview Point,,San Francisco,California,94154,United States,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,2016-08-07 15:38:53,2018-12-20 15:44:54
95,Home,Active,Customer,011 Express Lane,,Birmingham,Alabama,35242,United States,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2017-03-29 15:45:32,2018-05-31 11:52:33
96,Shipping,Active,Building,37 Calypso Court,9,Whittier,California,90605,United States,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.",2017-03-05 04:30:40,2018-12-19 15:45:51
97,Home,Active,Customer,04066 Glendale Avenue,,Tacoma,Washington,98424,United States,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2016-06-03 18:49:50,2018-11-26 20:22:22
98,Business,Active,Building,6066 Tomscot Pass,,Saint Joseph,Missouri,64504,United States,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",2016-11-21 19:00:07,2018-02-12 09:30:29
99,Shipping,Active,Customer,03 Fuller Street,,Sandy,Utah,84093,United States,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",2017-06-04 15:09:58,2018-07-24 04:06:18
100,Billing,Active,Building,800 Atwood Center,,Mobile,Alabama,36616,United States,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.",2017-02-07 13:19:40,2018-05-15 03:29:33
101,Business,Active,Customer,4059 Redwing Way,,Nashville,Tennessee,37220,United States,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",2016-09-14 04:27:23,2018-11-03 03:17:56
102,Business,Active,Building,4 Eliot Lane,,Birmingham,Alabama,35285,United States,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",2017-04-15 08:15:28,2018-02-04 08:58:38
103,Home,Active,Customer,53 Starling Junction,,Tempe,Arizona,85284,United States,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",2016-09-26 02:54:56,2018-07-14 07:17:36
104,Business,Active,Building,23866 Old Shore Parkway,,Staten Island,New York,10305,United States,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,2016-10-30 08:08:58,2019-03-11 09:03:52
105,Shipping,Active,Customer,25 Leroy Pass,5,Little Rock,Arkansas,72215,United States,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",2016-11-20 02:45:28,2017-07-29 04:56:34
106,Shipping,Active,Building,76279 Mendota Place,,Boise,Idaho,83732,United States,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",2016-06-25 04:26:05,2017-08-25 05:56:06
107,Home,Active,Customer,2 John Wall Park,,Dallas,Texas,75387,United States,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",2016-08-01 13:03:20,2018-02-14 11:58:12
108,Home,Active,Building,2254 Chinook Crossing,,Erie,Pennsylvania,16510,United States,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.",2016-05-10 22:32:06,2018-06-10 06:31:31
109,Home,Active,Customer,7488 Independence Circle,,Atlanta,Georgia,31136,United States,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",2016-10-26 21:02:33,2017-09-25 23:37:25
110,Billing,Active,Building,7656 Ilene Lane,10,Naples,Florida,33961,United States,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,2016-04-08 02:03:34,2017-10-05 22:02:26
111,Business,Active,Customer,54526 Twin Pines Avenue,,Charlotte,North Carolina,28210,United States,Morbi vel lectus in quam fringilla rhoncus.,2016-11-20 00:51:31,2018-08-11 11:18:28
112,Business,Active,Building,28 Bay Circle,,Gainesville,Florida,32627,United States,"Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2017-02-01 06:08:29,2017-07-10 15:53:08
113,Shipping,Active,Customer,20271 Burning Wood Way,,Valley Forge,Pennsylvania,19495,United States,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",2016-10-01 10:46:25,2019-01-01 20:37:01
114,Shipping,Active,Building,5 Kings Street,,Miami,Florida,33147,United States,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",2017-01-17 04:48:18,2018-09-13 02:09:59
115,Business,Active,Customer,9 Montana Street,4,Largo,Florida,33777,United States,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",2016-04-09 04:39:16,2019-01-16 02:06:26
116,Billing,Active,Building,8 Emmet Street,,Los Angeles,California,90025,United States,Morbi non quam nec dui luctus rutrum. Nulla tellus.,2017-03-11 04:24:35,2018-07-17 16:57:45
117,Billing,Active,Customer,7791 Melody Way,17,Bronx,New York,10459,United States,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2016-08-13 07:44:21,2019-02-16 03:47:50
118,Home,Active,Building,56218 Orin Court,,El Paso,Texas,88541,United States,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",2016-04-05 07:01:12,2018-04-21 22:43:05
119,Home,Active,Customer,10322 Badeau Hill,,New York City,New York,10009,United States,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2017-02-11 18:42:49,2018-01-12 03:21:36
120,Business,Active,Building,571 Hooker Hill,,Nashville,Tennessee,37210,United States,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",2016-11-14 06:22:24,2019-02-18 22:53:37
121,Business,Active,Customer,0 Green Ridge Place,,Hamilton,Ohio,45020,United States,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,2017-04-22 20:20:31,2017-12-11 16:43:11
122,Billing,Active,Building,48595 Mesta Circle,14,Reno,Nevada,89510,United States,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",2017-04-28 08:16:15,2018-12-14 21:38:10
123,Business,Active,Customer,385 Blackbird Way,,Farmington,Michigan,48335,United States,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",2016-03-22 18:12:49,2017-11-01 07:38:47
124,Home,Active,Building,263 Pearson Hill,19,Phoenix,Arizona,85067,United States,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",2016-11-22 15:49:59,2019-01-12 15:07:01
125,Home,Active,Customer,64762 Wayridge Terrace,,Pittsburgh,Pennsylvania,15250,United States,Mauris ullamcorper purus sit amet nulla.,2016-10-02 23:13:08,2018-11-13 00:14:58
126,Home,Active,Building,969 Eagle Crest Circle,,San Francisco,California,94137,United States,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",2016-09-01 23:36:50,2018-11-15 09:37:00
127,Home,Active,Customer,6 Dovetail Pass,,Madison,Wisconsin,53716,United States,Suspendisse accumsan tortor quis turpis. Sed ante.,2016-10-07 02:57:40,2018-10-02 15:01:16
128,Shipping,Active,Building,5773 Warbler Park,,Washington,District of Columbia,20260,United States,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2016-07-01 01:17:54,2017-06-23 00:27:25
129,Business,Active,Customer,86 School Drive,3,Arlington,Virginia,22234,United States,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",2016-07-18 01:22:05,2017-06-22 23:19:42
130,Shipping,Active,Building,538 Delaware Circle,,Lexington,Kentucky,40576,United States,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2016-07-18 19:57:24,2018-03-09 21:23:50
131,Business,Active,Customer,35803 4th Alley,,San Antonio,Texas,78285,United States,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",2017-01-31 05:11:17,2018-11-13 15:25:23
132,Shipping,Active,Building,38739 Bay Plaza,20,Phoenix,Arizona,85072,United States,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",2017-01-14 14:43:55,2017-12-05 08:20:04
133,Home,Active,Customer,4 Brentwood Crossing,,Seattle,Washington,98175,United States,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",2016-07-26 04:51:40,2018-04-04 09:39:58
134,Business,Active,Building,924 Hallows Crossing,,Escondido,California,92030,United States,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2017-03-16 05:52:16,2017-12-18 07:08:38
135,Business,Active,Customer,30 Becker Park,,Richmond,Virginia,23289,United States,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,2016-03-23 21:52:04,2017-09-21 04:02:28
136,Billing,Active,Building,68764 Oakridge Drive,,Portland,Oregon,97271,United States,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2016-11-22 15:45:40,2017-11-13 06:32:42
137,Shipping,Active,Customer,9 Basil Lane,17,Englewood,Colorado,80150,United States,In hac habitasse platea dictumst.,2016-06-23 22:43:26,2017-09-08 15:47:59
138,Business,Active,Building,3673 Dexter Parkway,15,Young America,Minnesota,55573,United States,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",2016-10-17 11:45:40,2017-09-30 11:26:29
139,Billing,Active,Customer,0 Waywood Court,,Green Bay,Wisconsin,54313,United States,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",2016-05-07 10:27:55,2017-09-15 03:56:38
140,Home,Active,Building,5 Lakeland Way,13,Tampa,Florida,33694,United States,"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",2016-07-23 20:12:43,2018-12-25 11:32:34
141,Shipping,Active,Customer,132 Harper Alley,,El Paso,Texas,88546,United States,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2017-01-03 11:15:20,2019-02-20 01:28:21
142,Shipping,Active,Building,5 Raven Court,13,Madison,Wisconsin,53716,United States,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",2017-05-26 21:14:41,2018-07-18 00:07:24
143,Billing,Active,Customer,8488 Gerald Pass,7,Stockton,California,95210,United States,Aenean fermentum.,2016-05-05 22:06:36,2017-08-08 17:17:42
144,Billing,Active,Building,6 Thompson Place,,Rochester,New York,14646,United States,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2016-08-28 05:32:52,2018-01-10 02:56:07
145,Shipping,Active,Customer,911 Scofield Place,,Bronx,New York,10464,United States,Maecenas pulvinar lobortis est.,2017-05-19 11:23:51,2018-10-21 12:15:03
146,Home,Active,Building,34 Leroy Hill,17,Corpus Christi,Texas,78475,United States,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,2017-03-08 20:39:23,2018-06-18 18:17:18
147,Home,Active,Customer,0 Twin Pines Junction,,Rochester,New York,14609,United States,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2017-06-12 14:31:52,2019-02-06 23:08:04
148,Home,Active,Building,4 Lindbergh Pass,10,West Palm Beach,Florida,33411,United States,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2016-09-06 03:02:05,2017-08-28 13:16:35
149,Billing,Active,Customer,3482 Packers Way,,San Luis Obispo,California,93407,United States,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,2017-03-30 21:27:54,2017-08-17 11:46:05
150,Business,Active,Building,7 Surrey Park,,Atlanta,Georgia,30316,United States,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",2016-09-30 05:54:37,2018-02-17 01:14:11
151,Shipping,Active,Customer,763 Johnson Lane,,Houston,Texas,77065,United States,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2016-12-30 05:29:24,2018-01-15 15:29:10
152,Business,Active,Building,44735 Mcguire Circle,,Ocala,Florida,34479,United States,Integer ac neque. Duis bibendum.,2016-03-14 02:20:24,2019-02-06 23:17:34
153,Shipping,Active,Customer,94377 Dixon Parkway,4,Dayton,Ohio,45408,United States,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",2016-03-18 03:27:14,2018-03-10 05:34:06
154,Shipping,Active,Building,2 Ridgeview Court,,Sioux Falls,South Dakota,57193,United States,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.",2016-10-30 05:39:55,2018-02-25 09:40:12
